Date,Open,High,Low,Close,Adj Close,Volume
2017-05-08,5649.180176,5659.069824,5638.000000,5659.069824,5659.069824,1909710000
2017-05-09,5667.979980,5691.209961,5664.000000,5678.310059,5678.310059,1997490000
2017-05-10,5681.330078,5683.640137,5661.439941,5681.680176,5681.680176,2108000000
2017-05-11,5662.589844,5675.500000,5637.399902,5674.220215,5674.220215,1950910000
2017-05-12,5683.580078,5687.419922,5672.040039,5686.810059,5686.810059,1740960000
2017-05-15,5687.970215,5706.609863,5683.100098,5704.479980,5704.479980,1850790000
2017-05-16,5715.149902,5724.709961,5699.410156,5724.439941,5724.439941,1999330000
2017-05-17,5673.620117,5688.740234,5578.160156,5580.549805,5580.549805,2347480000
2017-05-18,5569.810059,5645.080078,5568.470215,5626.310059,5626.310059,2131520000
2017-05-19,5640.709961,5673.629883,5640.680176,5651.560059,5651.560059,1905520000
2017-05-22,5662.950195,5701.049805,5661.589844,5699.399902,5699.399902,1726230000
2017-05-23,5714.939941,5716.549805,5690.200195,5703.350098,5703.350098,1705860000
2017-05-24,5720.830078,5732.569824,5705.169922,5730.299805,5730.299805,1666050000
2017-05-25,5748.290039,5793.129883,5738.819824,5778.370117,5778.370117,1767690000
2017-05-26,5782.169922,5790.200195,5771.709961,5788.359863,5788.359863,1571040000
2017-05-30,5785.379883,5799.990234,5781.370117,5794.629883,5794.629883,1688480000
2017-05-31,5812.970215,5813.259766,5762.560059,5788.799805,5788.799805,2209400000
2017-06-01,5804.169922,5816.600098,5779.890137,5816.509766,5816.509766,1943610000
2017-06-02,5834.410156,5881.459961,5825.740234,5881.459961,5881.459961,1820000000
2017-06-05,5881.220215,5888.919922,5871.089844,5878.120117,5878.120117,1739820000
2017-06-06,5869.479980,5890.879883,5848.319824,5856.770020,5856.770020,1889690000
2017-06-07,5871.770020,5883.189941,5845.959961,5877.589844,5877.589844,1822270000
2017-06-08,5894.750000,5895.180176,5852.649902,5885.299805,5885.299805,2128780000
2017-06-09,5891.669922,5897.689941,5657.759766,5741.939941,5741.939941,3152050000
2017-06-12,5677.160156,5716.200195,5633.339844,5708.180176,5708.180176,2586540000
2017-06-13,5740.209961,5760.540039,5709.169922,5751.819824,5751.819824,2062110000
2017-06-14,5774.120117,5774.200195,5682.350098,5727.069824,5727.069824,1940440000
2017-06-15,5661.359863,5707.370117,5634.580078,5700.890137,5700.890137,1858130000
2017-06-16,5694.209961,5695.740234,5656.620117,5681.479980,5681.479980,3120640000
2017-06-19,5729.540039,5776.370117,5724.490234,5772.220215,5772.220215,1976970000
2017-06-20,5763.000000,5772.169922,5725.009766,5726.310059,5726.310059,2570130000
2017-06-21,5740.580078,5784.919922,5737.009766,5782.390137,5782.390137,2401440000
2017-06-22,5787.439941,5802.459961,5767.870117,5779.870117,5779.870117,2170250000
2017-06-23,5775.029785,5810.310059,5759.700195,5803.109863,5803.109863,2704600000
2017-06-26,5832.310059,5845.149902,5765.870117,5777.589844,5777.589844,2150630000
2017-06-27,5752.720215,5761.040039,5671.600098,5671.600098,5671.600098,2181830000
2017-06-28,5693.479980,5757.229980,5660.529785,5753.029785,5753.029785,2069400000
2017-06-29,5723.310059,5723.660156,5599.439941,5653.020020,5653.020020,2402250000
2017-06-30,5676.399902,5681.899902,5637.740234,5646.919922,5646.919922,1998330000
2017-07-03,5680.359863,5684.979980,5592.529785,5596.959961,5596.959961,1091020000
2017-07-05,5611.000000,5663.600098,5593.660156,5648.819824,5648.819824,1872130000
2017-07-06,5606.419922,5628.839844,5579.640137,5597.899902,5597.899902,1990590000
2017-07-07,5618.850098,5673.020020,5618.850098,5656.470215,5656.470215,1700630000
2017-07-10,5662.709961,5708.620117,5650.259766,5694.149902,5694.149902,1675470000
2017-07-11,5687.029785,5717.910156,5667.270020,5709.799805,5709.799805,1808110000
2017-07-12,5757.200195,5785.000000,5749.649902,5778.950195,5778.950195,1820550000
2017-07-13,5785.319824,5806.180176,5776.620117,5793.359863,5793.359863,1803810000
2017-07-14,5815.040039,5844.799805,5799.850098,5838.080078,5838.080078,1608120000
2017-07-17,5845.819824,5860.640137,5830.250000,5839.740234,5839.740234,1558030000
2017-07-18,5832.919922,5880.549805,5818.200195,5880.100098,5880.100098,1762400000
2017-07-19,5898.399902,5922.370117,5895.540039,5916.160156,5916.160156,1862910000
2017-07-20,5929.580078,5932.609863,5896.609863,5921.220215,5921.220215,1818880000
2017-07-21,5905.600098,5921.529785,5890.250000,5921.529785,5921.529785,1797100000
2017-07-24,5920.930176,5950.580078,5912.740234,5941.370117,5941.370117,1735520000
2017-07-25,5927.100098,5945.060059,5916.290039,5930.649902,5930.649902,1925230000
2017-07-26,5944.160156,5954.379883,5939.169922,5950.729980,5950.729980,1988040000
2017-07-27,5994.020020,5995.770020,5847.049805,5917.029785,5917.029785,2483560000
2017-07-28,5883.700195,5918.310059,5868.919922,5908.919922,5908.919922,1860770000
2017-07-31,5928.680176,5932.370117,5871.790039,5880.330078,5880.330078,1891710000
2017-08-01,5900.640137,5905.290039,5880.450195,5895.169922,5895.169922,1812590000
2017-08-02,5934.069824,5936.149902,5859.620117,5914.229980,5914.229980,2104130000
2017-08-03,5915.729980,5917.470215,5879.720215,5891.200195,5891.200195,2113440000
2017-08-04,5899.689941,5912.560059,5877.060059,5899.910156,5899.910156,1907170000
2017-08-07,5909.450195,5936.790039,5903.750000,5934.729980,5934.729980,1701550000
2017-08-08,5922.640137,5972.930176,5910.500000,5926.350098,5926.350098,1914670000
2017-08-09,5879.549805,5920.959961,5866.169922,5919.390137,5919.390137,2033760000
2017-08-10,5880.140137,5887.270020,5783.359863,5788.189941,5788.189941,2204700000
2017-08-11,5792.319824,5844.609863,5785.259766,5831.529785,5831.529785,1794850000
2017-08-14,5878.640137,5916.330078,5878.000000,5908.169922,5908.169922,1698560000
2017-08-15,5917.290039,5919.750000,5893.850098,5907.729980,5907.729980,1580060000
2017-08-16,5920.680176,5944.979980,5899.560059,5917.419922,5917.419922,1804730000
2017-08-17,5896.319824,5903.870117,5796.319824,5796.319824,5796.319824,2041220000
2017-08-18,5803.899902,5831.080078,5770.140137,5790.910156,5790.910156,1964590000
2017-08-21,5791.040039,5804.299805,5750.500000,5786.540039,5786.540039,1576070000
2017-08-22,5817.290039,5879.000000,5817.020020,5873.330078,5873.330078,1597700000
2017-08-23,5842.160156,5864.779785,5840.709961,5851.779785,5851.779785,1533220000
2017-08-24,5863.990234,5871.870117,5802.770020,5834.439941,5834.439941,1616780000
2017-08-25,5854.310059,5870.470215,5815.600098,5822.529785,5822.529785,1442900000
2017-08-28,5839.270020,5852.799805,5821.870117,5838.080078,5838.080078,1558690000
2017-08-29,5785.290039,5871.790039,5785.220215,5862.140137,5862.140137,1637640000
2017-08-30,5870.879883,5940.569824,5865.339844,5932.899902,5932.899902,1712070000
2017-08-31,5948.740234,5995.450195,5945.950195,5988.600098,5988.600098,1885710000
2017-09-01,6001.819824,6009.609863,5972.270020,5987.899902,5987.899902,1488040000
2017-09-05,5966.640137,5980.910156,5890.250000,5932.729980,5932.729980,1886950000
2017-09-06,5949.540039,5964.379883,5909.919922,5951.129883,5951.129883,1906030000
2017-09-07,5960.439941,5980.149902,5943.890137,5964.310059,5964.310059,1998380000
2017-09-08,5957.189941,5958.810059,5907.959961,5913.370117,5913.370117,1785560000
2017-09-11,5962.350098,5990.870117,5960.870117,5980.529785,5980.529785,1819300000
2017-09-12,5998.750000,6002.970215,5968.089844,5995.640137,5995.640137,1745090000
2017-09-13,5982.850098,6004.470215,5974.879883,6004.379883,6004.379883,1942090000
2017-09-14,5981.850098,5997.229980,5965.060059,5968.819824,5968.819824,1809170000
2017-09-15,5965.660156,6009.450195,5957.850098,5988.000000,5988.000000,2821110000
2017-09-18,5997.509766,6012.950195,5963.169922,5981.120117,5981.120117,1874440000
2017-09-19,5991.930176,5998.240234,5971.169922,5991.080078,5991.080078,1809710000
2017-09-20,5987.720215,5994.529785,5927.700195,5973.609863,5973.609863,2052520000
2017-09-21,5965.600098,5965.600098,5915.740234,5934.910156,5934.910156,1772790000
2017-09-22,5912.200195,5937.589844,5911.479980,5932.319824,5932.319824,1639100000
2017-09-25,5904.060059,5908.569824,5839.890137,5867.350098,5867.350098,2050410000
2017-09-26,5893.180176,5908.470215,5862.990234,5881.339844,5881.339844,1926420000
2017-09-27,5912.959961,5957.750000,5900.350098,5937.790039,5937.790039,2053720000
2017-09-28,5920.649902,5939.220215,5908.620117,5933.069824,5933.069824,1828570000
2017-09-29,5941.779785,5980.220215,5930.819824,5979.299805,5979.299805,1967720000
2017-10-02,5988.959961,6005.200195,5955.830078,5981.919922,5981.919922,1977030000
